,struct_typ,occ_type,year_built,no_stories,magnitude,distance,meandamage
6908,S1,IND1,20131001,1,5,6.174440975,0.12283
6909,S1,IND1,20131001,1,5,6.155550922,0.12288
6910,S1,COM2,19960613,1,5,6.222599784,0.11585
6911,S1,IND1,19970417,1,5,6.217241937,0.11678
6912,S1,IND1,19980916,1,5,6.210588219,0.10796
6913,URM,RES1,19990720,2,5,6.211880908,0.22524
6914,S1,AGR1,19950216,1,5,4.937150516,0.11821
6915,S1,COM2,19980911,1,5,4.900642172,0.10565
6916,S1,AGR1,19971128,1,5,4.926960722,0.12011
6917,S1,COM2,20040701,1,5,5.707551678,0.12156
6918,S1,COM2,20140703,1,5,5.767253788,0.11387
6919,S1,RES1,20150312,2,5,5.796867294,0.11485
6920,S1,IND1,19970507,2,5,6.138637217,0.10728
6921,C4,IND1,19970507,2,5,6.14913266,0.22105
6922,URM,RES1,19960129,1,5,5.26842551,0.22317
6923,S1,COM2,20120514,1,5,5.190679497,0.13566
6924,URM,RES1,1952,1,5,5.225215531,0.15549
6925,URM,RES1,19790925,1,5,5.208078122,0.1912
6926,URM,RES1,19790925,1,5,5.235093194,0.19109
6927,URM,RES1,19790925,1,5,5.217218307,0.19116
6928,URM,RES1,1970,1,5,5.121011113,0.17795
6929,S1,COM2,20081110,1,5,5.118697982,0.10518
6931,URM,RES1,19771128,1,5,5.456365995,0.18703
6932,URM,RES1,1977,1,5,5.452601805,0.18704
6933,URM,RES1,19771128,1,5,5.445065338,0.18707
6934,URM,RES1,19771012,1,5,5.434262532,0.18712
6935,URM,RES1,19771128,1,5,5.421836263,0.18717
6936,URM,RES1,19770831,1,5,5.44067717,0.18709
6937,URM,RES1,19770831,1,5,5.431885638,0.18713
6938,S1,RES1,20001230,1,5,4.712435552,0.12356
6939,C4,RES1,20040722,2,5,4.776532813,0.24482
6940,W1,RES1,1911,1,5,4.769567644,0.12264
6941,URM,RES1,19771126,1,5,5.503484283,0.18684
6942,URM,RES1,19751127,1,5,5.495925287,0.1838
6943,URM,RES1,19771128,1,5,5.475813611,0.18695
6944,URM,RES1,19780613,1,5,5.474430142,0.18853
6945,URM,RES1,19760107,1,5,5.474450238,0.18541
6946,W1,RES1,1930,1,5,4.723248489,0.13485
6947,W1,COM2,1934,1,5,4.706308639,0.13775
6948,S1,COM2,20120921,1,5,4.707616586,0.13697
6950,W1,RES1,1931,1,5,4.747901942,0.13549
6951,URM,RES1,19990406,1,5,4.750646056,0.23242
6952,S1,RES1,20120404,1,5,4.730991628,0.13691
6953,W1,RES1,1912,1,5,4.755279776,0.12325
6954,C4,IND1,20080714,2,5,6.246628246,0.24787
6955,S1,IND1,20080306,1,5,6.067679406,0.12843
6956,C1,IND1,20080306,1,5,5.943745344,0.17174
6957,S1,IND1,20080306,1,5,5.904107755,0.12892
6958,S1,IND1,20080306,1,5,5.906609649,0.12891
6959,W1,RES1,1925,1,5,4.801804991,0.13124
6960,URM,RES1,20021216,1,5,4.789962155,0.2396
6963,W1,RES1,1932,1,5,5.375919972,0.13448
6965,S1,RES1,20041230,1,5,5.411958385,0.12593
6966,URM,RES1,1950,1,5,5.422697761,0.15273
6967,URM,RES1,1926,1,5,5.412099411,0.1313
6968,URM,RES1,1926,1,5,5.406184619,0.13132
6970,S1,AGR1,20110609,1,5,5.468245303,0.12986
6971,W1,RES1,20110829,1,5,5.490448825,0.22903
6972,URM,RES1,19750430,1,5,5.476198556,0.18388
6973,W1,RES1,1946,1,5,5.454701679,0.14489
6974,URM,RES1,19990713,1,5,5.469096118,0.22905
6975,W1,RES1,1968,1,5,5.456961689,0.16549
6976,URM,RES1,1910,1,5,5.447008463,0.11996
6977,URM,RES1,19780105,1,5,5.359147445,0.18899
6978,S1,RES1,20120404,1,5,5.462264857,0.13105
6979,W1,RES1,1945,1,5,5.446515873,0.1441
6980,URM,RES1,19820621,1,5,5.465374269,0.19514
6981,URM,RES1,19940908,1,5,5.464770105,0.21792
6982,URM,RES1,20011214,1,5,5.458860939,0.23388
6983,S1,AGR1,20110609,1,5,5.50338325,0.13356
6984,S1,AGR1,20110609,1,5,5.489399614,0.12251
6985,S1,AGR1,20110609,1,5,5.47951723,0.11655
6986,URM,RES1,19771012,1,5,5.435413474,0.18711
6987,URM,RES1,1945,1,5,5.439193014,0.14765
6988,URM,RES1,19771128,1,5,5.439709559,0.18709
6989,URM,RES1,19981117,1,5,5.43815335,0.22688
6990,URM,RES1,19820621,1,5,5.396836282,0.19542
6991,W1,RES1,1963,1,5,5.41347071,0.16046
6992,W1,RES1,1944,1,5,5.420763577,0.14337
6993,URM,RES1,19970811,1,5,5.425857769,0.22466
6994,S1,COM2,20100727,1,5,5.746854586,0.12792
6995,S1,COM2,20111012,1,5,5.74933968,0.13284
6996,S1,COM2,20140414,1,5,5.780616134,0.13641
6997,W1,RES1,1942,1,5,5.837773529,0.1405
6998,S1,RES1,20010419,1,5,5.846701099,0.12166
6999,URM,RES1,20050803,1,5,5.857599266,0.24194
7002,S1,RES1,20060530,1,5,5.807120386,0.12337
7003,W1,RES1,1929,1,5,5.875631228,0.13095
7004,URM,RES1,1913,1,5,5.853104415,0.12084
7005,URM,RES1,19891226,1,5,5.871778678,0.20596
7006,S1,COM2,20121119,2,5,5.725175633,0.11697
7007,W1,RES1,20110725,1,5,5.69512075,0.22801
7008,S1,AGR1,19990707,1,5,5.723880094,0.12002
7009,S1,COM2,19990707,1,5,5.730641402,0.12001
7010,S1,AGR1,20021114,1,5,5.554424495,0.12347
7011,URM,COM2,20040612,1,5,5.691326258,0.24022
7012,W1,COM2,20040612,1,5,5.691208586,0.21458
7013,W1,AGR1,20040612,1,5,5.682923568,0.21462
7014,S1,COM2,20150717,1,5,5.701444942,0.13792
7015,S1,RES1,20051109,2,5,5.709922044,0.10122
7016,W1,COM2,1908,1,5,5.786985668,0.11838
7017,URM,RES1,20031016,1,5,5.77377869,0.23723
7018,W1,COM2,19790530,1,5,5.368472745,0.17849
7019,URM,RES1,1977,1,5,5.44500597,0.18707
7020,W1,RES1,1960,1,5,5.450610546,0.15737
7021,URM,RES1,19990515,1,5,5.482210471,0.22898
7022,URM,RES1,19931202,2,5,5.470921522,0.2158
7023,URM,RES1,19670820,1,5,5.476352441,0.17254
7024,W1,RES1,20060427,1,5,5.491216302,0.21921
7025,W1,RES1,1943,1,5,5.52076028,0.14227
7026,URM,RES1,1973,1,5,4.233786842,0.18535
7027,URM,AGR1,1973,1,5,4.218903344,0.18539
7028,URM,RES1,1973,1,5,4.213576518,0.18541
7029,URM,RES1,1973,1,5,4.207898786,0.18543
7030,S1,RES1,20060911,1,5,4.223174494,0.13108
7031,S1,RES1,20050819,1,5,4.19613341,0.12632
7032,URM,RES1,19961122,1,5,4.589652945,0.22619
7033,URM,RES1,19961231,1,5,4.608357272,0.22611
7034,W1,RES1,1941,1,5,4.180063753,0.14443
7035,URM,RES1,1973,1,5,4.217803581,0.1854
7036,URM,RES1,19950104,1,5,4.228133248,0.22543
7037,URM,RES1,1973,1,5,4.221457317,0.18539
7038,URM,RES1,1973,1,5,4.209561879,0.18542
7039,URM,RES1,1973,1,5,4.200185855,0.18545
7040,URM,RES1,1973,1,5,4.214047811,0.18541
7041,URM,RES1,1973,1,5,4.223461131,0.18538
7042,W1,COM2,1941,1,5,4.321860732,0.14407
7043,URM,RES1,19950823,1,5,4.36010185,0.22491
7044,URM,RES1,20041230,2,5,4.128854185,0.24772
7045,W1,RES1,20150107,2,5,4.147224463,0.2438
